@RELATION 4or5-5

@ATTRIBUTE CEDD0	NUMERIC
@ATTRIBUTE CEDD1	NUMERIC
@ATTRIBUTE CEDD2	NUMERIC
@ATTRIBUTE CEDD3	NUMERIC
@ATTRIBUTE CEDD4	NUMERIC
@ATTRIBUTE CEDD5	NUMERIC
@ATTRIBUTE CEDD6	NUMERIC
@ATTRIBUTE CEDD7	NUMERIC
@ATTRIBUTE CEDD8	NUMERIC
@ATTRIBUTE CEDD9	NUMERIC
@ATTRIBUTE CEDD10	NUMERIC
@ATTRIBUTE CEDD11	NUMERIC
@ATTRIBUTE CEDD12	NUMERIC
@ATTRIBUTE CEDD13	NUMERIC
@ATTRIBUTE CEDD14	NUMERIC
@ATTRIBUTE CEDD15	NUMERIC
@ATTRIBUTE CEDD16	NUMERIC
@ATTRIBUTE CEDD17	NUMERIC
@ATTRIBUTE CEDD18	NUMERIC
@ATTRIBUTE CEDD19	NUMERIC
@ATTRIBUTE CEDD20	NUMERIC
@ATTRIBUTE CEDD21	NUMERIC
@ATTRIBUTE CEDD22	NUMERIC
@ATTRIBUTE CEDD23	NUMERIC
@ATTRIBUTE CEDD24	NUMERIC
@ATTRIBUTE CEDD25	NUMERIC
@ATTRIBUTE CEDD26	NUMERIC
@ATTRIBUTE CEDD27	NUMERIC
@ATTRIBUTE CEDD28	NUMERIC
@ATTRIBUTE CEDD29	NUMERIC
@ATTRIBUTE CEDD30	NUMERIC
@ATTRIBUTE CEDD31	NUMERIC
@ATTRIBUTE CEDD32	NUMERIC
@ATTRIBUTE CEDD33	NUMERIC
@ATTRIBUTE CEDD34	NUMERIC
@ATTRIBUTE CEDD35	NUMERIC
@ATTRIBUTE CEDD36	NUMERIC
@ATTRIBUTE CEDD37	NUMERIC
@ATTRIBUTE CEDD38	NUMERIC
@ATTRIBUTE CEDD39	NUMERIC
@ATTRIBUTE CEDD40	NUMERIC
@ATTRIBUTE CEDD41	NUMERIC
@ATTRIBUTE CEDD42	NUMERIC
@ATTRIBUTE CEDD43	NUMERIC
@ATTRIBUTE CEDD44	NUMERIC
@ATTRIBUTE CEDD45	NUMERIC
@ATTRIBUTE CEDD46	NUMERIC
@ATTRIBUTE CEDD47	NUMERIC
@ATTRIBUTE CEDD48	NUMERIC
@ATTRIBUTE CEDD49	NUMERIC
@ATTRIBUTE CEDD50	NUMERIC
@ATTRIBUTE CEDD51	NUMERIC
@ATTRIBUTE CEDD52	NUMERIC
@ATTRIBUTE CEDD53	NUMERIC
@ATTRIBUTE CEDD54	NUMERIC
@ATTRIBUTE CEDD55	NUMERIC
@ATTRIBUTE CEDD56	NUMERIC
@ATTRIBUTE CEDD57	NUMERIC
@ATTRIBUTE CEDD58	NUMERIC
@ATTRIBUTE CEDD59	NUMERIC
@ATTRIBUTE CEDD60	NUMERIC
@ATTRIBUTE CEDD61	NUMERIC
@ATTRIBUTE CEDD62	NUMERIC
@ATTRIBUTE CEDD63	NUMERIC
@ATTRIBUTE CEDD64	NUMERIC
@ATTRIBUTE CEDD65	NUMERIC
@ATTRIBUTE CEDD66	NUMERIC
@ATTRIBUTE CEDD67	NUMERIC
@ATTRIBUTE CEDD68	NUMERIC
@ATTRIBUTE CEDD69	NUMERIC
@ATTRIBUTE CEDD70	NUMERIC
@ATTRIBUTE CEDD71	NUMERIC
@ATTRIBUTE CEDD72	NUMERIC
@ATTRIBUTE CEDD73	NUMERIC
@ATTRIBUTE CEDD74	NUMERIC
@ATTRIBUTE CEDD75	NUMERIC
@ATTRIBUTE CEDD76	NUMERIC
@ATTRIBUTE CEDD77	NUMERIC
@ATTRIBUTE CEDD78	NUMERIC
@ATTRIBUTE CEDD79	NUMERIC
@ATTRIBUTE CEDD80	NUMERIC
@ATTRIBUTE CEDD81	NUMERIC
@ATTRIBUTE CEDD82	NUMERIC
@ATTRIBUTE CEDD83	NUMERIC
@ATTRIBUTE CEDD84	NUMERIC
@ATTRIBUTE CEDD85	NUMERIC
@ATTRIBUTE CEDD86	NUMERIC
@ATTRIBUTE CEDD87	NUMERIC
@ATTRIBUTE CEDD88	NUMERIC
@ATTRIBUTE CEDD89	NUMERIC
@ATTRIBUTE CEDD90	NUMERIC
@ATTRIBUTE CEDD91	NUMERIC
@ATTRIBUTE CEDD92	NUMERIC
@ATTRIBUTE CEDD93	NUMERIC
@ATTRIBUTE CEDD94	NUMERIC
@ATTRIBUTE CEDD95	NUMERIC
@ATTRIBUTE CEDD96	NUMERIC
@ATTRIBUTE CEDD97	NUMERIC
@ATTRIBUTE CEDD98	NUMERIC
@ATTRIBUTE CEDD99	NUMERIC
@ATTRIBUTE CEDD100	NUMERIC
@ATTRIBUTE CEDD101	NUMERIC
@ATTRIBUTE CEDD102	NUMERIC
@ATTRIBUTE CEDD103	NUMERIC
@ATTRIBUTE CEDD104	NUMERIC
@ATTRIBUTE CEDD105	NUMERIC
@ATTRIBUTE CEDD106	NUMERIC
@ATTRIBUTE CEDD107	NUMERIC
@ATTRIBUTE CEDD108	NUMERIC
@ATTRIBUTE CEDD109	NUMERIC
@ATTRIBUTE CEDD110	NUMERIC
@ATTRIBUTE CEDD111	NUMERIC
@ATTRIBUTE CEDD112	NUMERIC
@ATTRIBUTE CEDD113	NUMERIC
@ATTRIBUTE CEDD114	NUMERIC
@ATTRIBUTE CEDD115	NUMERIC
@ATTRIBUTE CEDD116	NUMERIC
@ATTRIBUTE CEDD117	NUMERIC
@ATTRIBUTE CEDD118	NUMERIC
@ATTRIBUTE CEDD119	NUMERIC
@ATTRIBUTE CEDD120	NUMERIC
@ATTRIBUTE CEDD121	NUMERIC
@ATTRIBUTE CEDD122	NUMERIC
@ATTRIBUTE CEDD123	NUMERIC
@ATTRIBUTE CEDD124	NUMERIC
@ATTRIBUTE CEDD125	NUMERIC
@ATTRIBUTE CEDD126	NUMERIC
@ATTRIBUTE CEDD127	NUMERIC
@ATTRIBUTE CEDD128	NUMERIC
@ATTRIBUTE CEDD129	NUMERIC
@ATTRIBUTE CEDD130	NUMERIC
@ATTRIBUTE CEDD131	NUMERIC
@ATTRIBUTE CEDD132	NUMERIC
@ATTRIBUTE CEDD133	NUMERIC
@ATTRIBUTE CEDD134	NUMERIC
@ATTRIBUTE CEDD135	NUMERIC
@ATTRIBUTE CEDD136	NUMERIC
@ATTRIBUTE CEDD137	NUMERIC
@ATTRIBUTE CEDD138	NUMERIC
@ATTRIBUTE CEDD139	NUMERIC
@ATTRIBUTE CEDD140	NUMERIC
@ATTRIBUTE CEDD141	NUMERIC
@ATTRIBUTE CEDD142	NUMERIC
@ATTRIBUTE CEDD143	NUMERIC
@ATTRIBUTE PHOG0	NUMERIC
@ATTRIBUTE PHOG1	NUMERIC
@ATTRIBUTE PHOG2	NUMERIC
@ATTRIBUTE PHOG3	NUMERIC
@ATTRIBUTE PHOG4	NUMERIC
@ATTRIBUTE PHOG5	NUMERIC
@ATTRIBUTE PHOG6	NUMERIC
@ATTRIBUTE PHOG7	NUMERIC
@ATTRIBUTE PHOG8	NUMERIC
@ATTRIBUTE PHOG9	NUMERIC
@ATTRIBUTE PHOG10	NUMERIC
@ATTRIBUTE PHOG11	NUMERIC
@ATTRIBUTE PHOG12	NUMERIC
@ATTRIBUTE PHOG13	NUMERIC
@ATTRIBUTE PHOG14	NUMERIC
@ATTRIBUTE PHOG15	NUMERIC
@ATTRIBUTE PHOG16	NUMERIC
@ATTRIBUTE PHOG17	NUMERIC
@ATTRIBUTE PHOG18	NUMERIC
@ATTRIBUTE PHOG19	NUMERIC
@ATTRIBUTE PHOG20	NUMERIC
@ATTRIBUTE PHOG21	NUMERIC
@ATTRIBUTE PHOG22	NUMERIC
@ATTRIBUTE PHOG23	NUMERIC
@ATTRIBUTE PHOG24	NUMERIC
@ATTRIBUTE PHOG25	NUMERIC
@ATTRIBUTE PHOG26	NUMERIC
@ATTRIBUTE PHOG27	NUMERIC
@ATTRIBUTE PHOG28	NUMERIC
@ATTRIBUTE PHOG29	NUMERIC
@ATTRIBUTE PHOG30	NUMERIC
@ATTRIBUTE PHOG31	NUMERIC
@ATTRIBUTE PHOG32	NUMERIC
@ATTRIBUTE PHOG33	NUMERIC
@ATTRIBUTE PHOG34	NUMERIC
@ATTRIBUTE PHOG35	NUMERIC
@ATTRIBUTE PHOG36	NUMERIC
@ATTRIBUTE PHOG37	NUMERIC
@ATTRIBUTE PHOG38	NUMERIC
@ATTRIBUTE PHOG39	NUMERIC
@ATTRIBUTE class { four,five,false}

@DATA

0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3974766452310442,0.30563197080750354,0.17831021870479918,0.37825309101585286,0.37825325942950955,0.17831035582810992,0.3056318659575597,0.2713921370099585,0.13569608464166272,0.10823841358713818,0.04457755467619978,0.12608436367195094,0.12608441980983653,0.044577588957027486,0.10823839544299392,0.13569606850497926,0.13569608464166272,0.10823841358713818,0.04457755467619978,0.12608436367195094,0.12608441980983653,0.044577588957027486,0.10823839544299392,0.13569606850497926,0.06304223797385934,0.04457757181661364,0.04457755467619978,0.06304218183597547,0.06304220990491827,0.044577588957027486,0.04457753753578594,0.0,0.06304223797385934,0.04457757181661364,0.04457755467619978,0.06304218183597547,0.06304220990491827,0.044577588957027486,0.04457753753578594,0.0,five
0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061048757686979115,0.065481447943157,0.08656192644170438,0.5494106802894246,0.6638166938306782,0.16273494368349536,0.08211616822749881,0.026117091950922145,0.01786224455839768,0.007177786004028996,0.005427408212109201,0.12853350092229077,0.14345760381884048,0.017331639688559625,0.012080486620085797,0.0074620262716920405,0.010664490975466956,0.007878761505502012,0.006128380644903243,0.14213616734054862,0.21051426404716256,0.06849991874371279,0.031691298541336316,0.0074620262716920405,0.007197752811164882,0.007878761593336121,0.023682799734697765,0.15854429724064595,0.18717265024749524,0.0484941553963086,0.029239948565395513,0.0074620262716920405,0.025324269341949594,0.04254613884028985,0.05132333784999419,0.12019671478593812,0.12267217571718098,0.028409229854914238,0.0091044345006812,0.0037310131358460202,five
0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20812919856508247,0.13777700255840986,0.14929929867015446,0.5490444941391736,0.5944355471201194,0.17412076364929777,0.1297892450292403,0.06518002044057461,0.07971447701793984,0.06429700008022764,0.06429699576347342,0.1414013519318724,0.14953214592787067,0.05286181766901165,0.026586049457245114,0.009306640227361692,0.04919524037335995,0.00787004155168408,0.004591498810117912,0.1136337970379762,0.1369172199643027,0.03314315110811368,0.03314313725296776,0.023283367789112407,0.021350939215338156,0.009674397151100408,0.02611452058547883,0.1714547383866369,0.17612488758640651,0.04855693567999179,0.0551376908331904,0.03259001242410051,0.05786854195844466,0.05593556377539773,0.05429628351108423,0.12255460678268688,0.1318612936415403,0.03955885919218043,0.014922367485837097,0.0,five
0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40000021714125633,0.28284272543860356,0.2828426166834344,0.3999998609488613,0.40000003904506426,0.2828428341937728,0.2828425079282651,0.0,0.1000000542853141,0.0707106813596509,0.07071065417085858,0.09999996523721533,0.10000000976126606,0.07071070854844322,0.07071062698206627,0.0,0.1000000542853141,0.0707106813596509,0.07071065417085858,0.09999996523721533,0.10000000976126606,0.07071070854844322,0.07071062698206627,0.0,0.1000000542853141,0.0707106813596509,0.07071065417085858,0.09999996523721533,0.10000000976126606,0.07071070854844322,0.07071062698206627,0.0,0.1000000542853141,0.0707106813596509,0.07071065417085858,0.09999996523721533,0.10000000976126606,0.07071070854844322,0.07071062698206627,0.0,five
0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44710284790611277,0.1846017073771693,0.18460165191061123,0.35902486757514046,0.3353269781657633,0.15791393921837393,0.15791379013161008,0.07109399474604461,0.40306399367673873,0.15346155039312753,0.15346150690019555,0.3149860525615075,0.29128814354425925,0.12677377026070602,0.1267736570948205,0.07109399474604461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022019427114687018,0.015570078492020894,0.015570072505207835,0.022019407506816455,0.022019417310752035,0.015570084478833951,0.015570066518394779,0.0,0.022019427114687018,0.015570078492020894,0.015570072505207835,0.022019407506816455,0.022019417310752035,0.015570084478833951,0.015570066518394779,0.0,five
0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5717540564145341,0.23977461454538657,0.1766915918010736,0.3123495540559121,0.3123496931266343,0.17669172767963526,0.23977449465702622,0.1344642753480454,0.06246996643946963,0.04417291493508861,0.04417289795026839,0.062469910811182416,0.06246993862532687,0.04417293191990882,0.04417288096544818,0.0,0.06246996643946963,0.04417291493508861,0.04417289795026839,0.062469910811182416,0.06246993862532687,0.04417293191990882,0.04417288096544818,0.0,0.3843441570961252,0.10725586974012082,0.04417289795026839,0.12493982162236483,0.12493987725065374,0.04417293191990882,0.10725585176068166,0.1344642753480454,0.06246996643946963,0.04417291493508861,0.04417289795026839,0.062469910811182416,0.06246993862532687,0.04417293191990882,0.04417288096544818,0.0,five
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.39010212395918614,0.08824898747190002,0.05238157889198,0.427309078691861,0.5164800080686455,0.12776348569757368,0.10624296182604431,0.058589535546681594,0.0223943835065369,0.01470816381623049,0.011121425051742776,0.0360603694286738,0.03606037957973634,0.011121434108930293,0.014708159077849723,0.015290606984306353,0.13497168774533,0.005023123650317984,0.005023121718888911,0.31966950585106174,0.4011950959602169,0.08686450255724502,0.058170540372459716,0.02036301808591571,0.021852849793828667,0.013632987704633425,0.013632985148767719,0.06447543661543481,0.07212076256911647,0.0272659847156858,0.027265963546094465,0.015290606984306353,0.21088320291349094,0.0548847123007181,0.02260404697258059,0.007103766796690255,0.007103769959576087,0.0025115643157125546,0.006098298829640389,0.007645303492153177,five
0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4327183671160136,0.12185043627204144,0.1411125754266159,0.47602730969834617,0.46535102067903117,0.15015013451327364,0.13517523289425226,0.06392719609866143,0.12084000874324981,0.0699601939411927,0.08064761050999887,0.23078578644816256,0.2262164977084377,0.07550178875246558,0.04331548164241981,0.009138720500322424,0.05731700867308385,0.02401732075630468,0.04545414817758601,0.23038157114862892,0.22427456425278483,0.050631012124266794,0.05926772312431297,0.03651103459769415,0.14384937886765667,0.02122599158873436,0.010507571626186764,0.006368550900666028,0.006368553736203847,0.019514083693608325,0.025945101918960496,0.013708080750483635,0.11071197083202414,0.0066469299858097205,0.004503245112844169,0.008491401200888036,0.00849140498160513,0.004503249942932862,0.006646926208559008,0.004569360250161212,five
0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23544333099807896,0.19717420350536194,0.2794128170029796,0.46204884388701206,0.5136964975741763,0.2933754748559539,0.17742976925893958,0.053024651382033265,0.059714612737958,0.05340162611091889,0.08332129546002592,0.09738782559793392,0.08679055862546227,0.059583596806746644,0.044623720687573545,0.019893788642082993,0.0720902383854436,0.0,0.005599820720164538,0.10435957094995367,0.14414717660804355,0.04779303912149794,0.027260341133841754,0.007957515456833198,0.013221095548232175,0.043692631826839634,0.06425229351372143,0.13456882129615125,0.20874994958661497,0.1506855064838583,0.06460560009085652,0.003978757728416599,0.09041738432644537,0.10007994556760344,0.12623940730906763,0.12573262604297217,0.07400881275405619,0.03531333244385076,0.04094010734666785,0.021194589554700473,five
